step,headed_mean_Theta,unheaded_mean_Theta,headed_rms,unheaded_rms,headed_bursts,unheaded_bursts
0,3.125594407322199,3.155062783064997,1.0313848437737057,1.0081454893908102,0,0
1,3.159690712182305,3.1551015822784083,1.0671769416535932,1.0084181159673882,0,0
2,3.122468377695281,3.1551402115590794,1.0966421298728797,1.0086914963212963,0,0
3,3.1618338393490473,3.1551786711339695,1.1399064259075906,1.008965628446968,0,0
4,3.067716988511053,3.155216961234158,1.1555348730760862,1.0092405103406248,1,0
5,3.165767741927018,3.15525508209488,1.2102801998140256,1.0095161400004198,0,0
6,3.0624534727182664,3.1552930339555645,1.2184473291654219,1.009792515426573,1,0
7,3.1705789783242686,3.155330817059871,1.2678549943702164,1.010069634621509,0,0
8,3.0582112158982953,3.1553684316557202,1.2706036941993686,1.0103474955899885,1,0
9,3.1803943922198314,3.155405877995334,1.291705171188683,1.010626096339238,0,0
10,2.9970602572318406,3.1554431563352647,1.2680477970292383,1.0109054348790778,2,0
11,3.193020879440231,3.1554802669364297,1.269236284804129,1.0111855092220459,0,0
12,3.089112804486401,3.15551721006414,1.2602857274567232,1.011466317383519,0,0
13,3.196013448155494,3.1555539859881327,1.226434333667006,1.0117478573818302,0,0
14,3.086690375735737,3.155590594982599,1.2114822597701798,1.0120301272383854,0,0
15,3.1971707660444237,3.1556270373262145,1.1673778191754458,1.0123131249777748,0,0
16,3.0860284424433715,3.155663313302164,1.152359480044679,1.012596848627881,0,0
17,3.0920066038404457,3.155699423198168,1.0901505301021637,1.0128812962199856,2,0
18,3.0938554182317186,3.1557353673065087,1.0840605584844614,1.013166465788871,0,0
19,3.18530130472363,3.1557711459240543,1.0492377795866956,1.0134523553729198,0,0
20,3.1009703174847054,3.1558067593522794,1.0341546190469442,1.0137389630142104,0,0
21,3.1726723994556223,3.1558422078972903,1.0035523657636878,1.0140262867586087,0,0
22,3.1166943750704763,3.155877491869841,0.9902700051875315,1.0143143246558584,0,0
23,3.155858843752694,3.155912611585356,0.9760883124017452,1.0146030747596637,0,0
24,3.1345891871605986,3.1559475673639485,0.9727126131289587,1.0148925351277744,0,0
25,3.1409012199527258,3.1559823595304337,0.9764614028675808,1.015182703822062,0,0
26,3.1482353445026288,3.1560169884143483,0.9878731591451352,1.0154735789085947,0,0
27,3.130616492320962,3.156051454349965,1.005063753191267,1.0157651584577096,0,0
28,3.1561790065373536,3.1560857576763013,1.0317367668402457,1.0160574405440794,0,0
29,3.1250201135436204,3.156119898737137,1.0570455219667536,1.0163504232467755,0,0
30,3.1601233178293935,3.1561538778810223,1.0941134482379415,1.01664410464933,0,0
31,3.121731000481168,3.156187695461284,1.1229284298620672,1.016938482839791,0,0
32,3.1635702405000656,3.156221351836044,1.1633625072446396,1.017233555910775,0,0
33,3.066168913545326,3.1562548473682113,1.1786428990540228,1.0175293219595183,1,0
34,3.1723611692051805,3.156288182425501,1.2189966807959625,1.017825779087919,0,0
35,3.108497524308636,3.15632135738043,1.2375374419348413,1.0181229254025814,0,0
36,3.1791020915646215,3.156354372610324,1.2623650210983672,1.0184207590148528,0,0
37,3.101731508425671,3.156387228497319,1.2704634469488243,1.0187192780408576,0,0
38,3.185677049326453,3.1564199254283594,1.2746101590577252,1.0190184806015279,0,0
39,3.095985997158541,3.1564524637951976,1.2708330885343284,1.0193183648226305,0,0
40,3.1895253275544775,3.1564848439943938,1.2496883030692767,1.0196189288347894,0,0
41,3.0930446534650025,3.1565170664273112,1.2362731795100879,1.019920170773505,0,0
42,3.1910419239877403,3.1565491315001086,1.1957331266916844,1.0202220887791709,0,0
43,3.0920336277512774,3.156581039623737,1.177797981331413,1.0205246809970832,0,0
44,3.1907067623566276,3.1566127912139295,1.1335785052838818,1.0208279455774514,0,0
45,3.0929518385403845,3.156644386691197,1.1170299011474811,1.0211318806754008,0,0
46,3.1881460767825183,3.156675826480812,1.079457562234155,1.0214364844509751,0,0
47,3.0965552962157346,3.1567071110128,1.064655423463034,1.021741755069132,0,0
48,3.18032163438764,3.156738240721925,1.0305944765142385,1.0220476906997373,0,0
49,3.1074121161216532,3.1567692160476777,1.0149313503421376,1.0223542895175561,0,0
50,3.1650382095316565,3.1568000374342584,0.9893041278367405,1.0226615497022375,0,0
51,3.1252374113846333,3.1568307053305573,0.9786303204426775,1.0229694694382985,0,0
52,3.148157267492641,3.156861220190141,0.9714923709318815,1.0232780469151035,0,0
53,3.142217555813351,3.1568915824712307,0.9730349523535299,1.0235872803268402,0,0
54,3.134612123709255,3.1569217926366817,0.9819110541335084,1.0238971678724926,0,0
55,3.153912541213934,3.156951851153959,0.9992285048059006,1.0242077077558094,0,0
56,3.1259015398086447,3.1569817584951188,1.0192343552503444,1.0245188981852706,0,0
57,3.1603453788597506,3.157011515136777,1.0503256062569324,1.024830737374051,0,0
58,3.1211192413341187,3.1570411215600926,1.0762446097263838,1.0251432235399778,0,0
59,3.164309311698904,3.1570705782507296,1.11525839406273,1.0254563549054885,0,0
60,3.1172268840523287,3.157099885698839,1.142357968137866,1.025770129697583,0,0
61,3.168829374642858,3.1571290443990203,1.1820515585365958,1.0260845461477743,0,0
62,3.1122713966181004,3.157158054850299,1.2052628604109348,1.0263996024920357,0,0
63,3.174799346641707,3.1571869175560856,1.2383258420339909,1.0267152969707443,0,0
64,3.1059763211808353,3.1572156330241516,1.2532783579949194,1.027031627828622,0,0
65,3.1817726529319033,3.1572442017665896,1.2712810367665908,1.0273485933146758,0,0
66,3.0992738630414984,3.1572726242997775,1.2748284781533672,1.0276661916821301,0,0
67,3.187517560407084,3.157300901144346,1.269396525421951,1.0279844211883624,0,0
68,3.0945605330252213,3.1573290328251367,1.26154241707412,1.0283032800948324,0,0
69,3.190298194897841,3.1573570198711653,1.2317368507415565,1.0286227666670094,0,0
70,3.092462374914666,3.157384862815583,1.215808521671439,1.028942879174297,0,0
71,3.1911524363682333,3.1574125621956326,1.1718113306036215,1.0292636158899577,0,0
72,3.0921403493645094,3.157440118552609,1.1539327189529585,1.0295849750910304,0,0
73,3.1900434830701143,3.157467532431815,1.111896295603178,1.0299069550582505,0,0
74,3.0938762920247167,3.1574948043825177,1.0963110483030787,1.0302295540759643,0,0
75,3.186122127703387,3.157521934957904,1.060724989726693,1.0305527704320432,0,0
